DATE,WILLSMLCAP
2016-01-13,74672.23
2016-01-14,75619.53
2016-01-15,74360.43
2016-01-18,.
2016-01-19,73481.39
2016-01-20,73416.62
2016-01-21,73457.17
2016-01-22,75262.17
2016-01-25,73620.63
2016-01-26,75300.65
2016-01-27,74355.68
2016-01-28,74341.75
2016-01-29,76703.91
2016-02-01,76531.57
2016-02-02,74830.57
2016-02-03,75163.90
2016-02-04,75673.78
2016-02-05,73841.73
2016-02-08,72474.20
2016-02-09,71975.85
2016-02-10,71967.06
2016-02-11,71074.37
2016-02-12,72403.14
2016-02-15,.
2016-02-16,74051.14
2016-02-17,75326.72
2016-02-18,75022.66
2016-02-19,75238.10
2016-02-22,76235.38
2016-02-23,75594.30
2016-02-24,76249.07
2016-02-25,77005.16
2016-02-26,77504.40
2016-02-29,77338.52
2016-03-01,78854.75
2016-03-02,79757.60
2016-03-03,80695.08
2016-03-04,81234.49
2016-03-07,82087.26
2016-03-08,80192.25
2016-03-09,80554.85
2016-03-10,80058.00
2016-03-11,81791.61
2016-03-14,81528.58
2016-03-15,80401.58
2016-03-16,81172.77
2016-03-17,82393.32
2016-03-18,83018.66
2016-03-21,82857.84
2016-03-22,82818.42
2016-03-23,81181.43
2016-03-24,81479.60
2016-03-25,.
2016-03-28,81558.11
2016-03-29,83511.34
2016-03-30,83629.43
2016-03-31,83885.82
2016-04-01,84015.75
2016-04-04,83277.53
2016-04-05,82379.82
2016-04-06,83326.93
2016-04-07,82185.67
2016-04-08,82686.89
2016-04-11,82566.29
2016-04-12,83558.91
2016-04-13,85262.40
2016-04-14,85127.10
2016-04-15,85293.56
2016-04-18,85818.64
2016-04-19,86081.72
2016-04-20,86252.02
2016-04-21,85674.20
2016-04-22,86594.85
2016-04-25,85956.72
2016-04-26,86881.14
2016-04-27,87329.63
2016-04-28,86352.86
2016-04-29,85732.40
2016-05-02,86400.50
2016-05-03,84989.94
2016-05-04,84404.85
2016-05-05,84077.44
2016-05-06,84530.68
2016-05-09,84650.10
2016-05-10,85509.91
2016-05-11,84498.77
2016-05-12,84035.21
2016-05-13,83432.40
2016-05-16,84437.82
2016-05-17,83378.47
2016-05-18,83497.58
2016-05-19,82870.53
2016-05-20,84118.56
2016-05-23,84075.38
2016-05-24,85622.49
2016-05-25,86243.78
2016-05-26,86148.48
2016-05-27,86885.50
2016-05-30,.
2016-05-31,87175.15
2016-06-01,87752.13
2016-06-02,88338.46
2016-06-03,87869.66
2016-06-06,88882.05
2016-06-07,89217.46
2016-06-08,89772.91
2016-06-09,89243.15
2016-06-10,87826.53
2016-06-13,86810.39
2016-06-14,86487.06
2016-06-15,86701.25
2016-06-16,86558.74
