DATE,DDDI13USA156NWDB
1/1/2003,72.0788
1/1/2004,73.6986
1/1/2005,74.4917
1/1/2006,118.231
1/1/2007,122.513
1/1/2008,94.9747
1/1/2009,112.326
1/1/2010,119.817
1/1/2011,116.712
1/1/2012,123.379
1/1/2013,135.725
1/1/2014,136.844
