DATE,DDOM01USA644NWDB
2000-01-01,24.5142
2001-01-01,21.676
2002-01-01,19.7653
2003-01-01,18.2518
2004-01-01,17.848
2005-01-01,17.4102
2006-01-01,17.2029
2007-01-01,16.9604
2008-01-01,15.3439
2009-01-01,14.3462
2010-01-01,13.8333
2011-01-01,13.3866
2012-01-01,13.0689
2013-01-01,13.2254
2014-01-01,13.7223
2015-01-01,13.6589
2016-01-01,13.4057
2017-01-01,13.3355
